start_region,end_region,letter_association
RadialDistal,RadialDistal,TI_Music_3
RadialIntermediate,RadialIntermediate,TI_Chats_5
RadialProximal,RadialProximal,TI_Call_1
VolarDistal,VolarDistal,TI_Map_6
VolarIntermediate,VolarIntermediate,TI_Apps_4
VolarProximal,VolarProximal,TI_Climate_2
RadialDistal,RadialIntermediate,NextSong_3
RadialDistal,RadialIntermediate,Play_3
RadialDistal,RadialIntermediate,Pause_3
RadialDistal,RadialIntermediate,VolumeMinus_3
RadialDistal,RadialIntermediate,VolumePlus_3
RadialIntermediate,RadialDistal,Keyboard_5
RadialIntermediate,RadialDistal,Reply_5
RadialIntermediate,RadialDistal,ContactList_5
RadialIntermediate,RadialDistal,Send_5
RadialIntermediate,RadialDistal,SpeechToText_5
RadialProximal,RadialDistal,MuteMic_1
RadialProximal,RadialDistal,CallReply_1
RadialProximal,RadialDistal,CallingPerson_1
RadialProximal,RadialDistal,CallAccept_1
RadialProximal,RadialDistal,CallReject_1
VolarDistal,RadialDistal,Work_6
VolarDistal,RadialDistal,Search_6
VolarDistal,RadialDistal,Destination_6
VolarDistal,RadialDistal,Recenter_6
VolarDistal,RadialDistal,Home_6
VolarIntermediate,RadialDistal,Radio_4
VolarIntermediate,RadialDistal,Spotify_4
VolarIntermediate,RadialDistal,Whatsapp_4
VolarIntermediate,RadialDistal,Instagram_4
VolarIntermediate,RadialDistal,Podcast_4
VolarProximal,RadialDistal,Air_2
VolarProximal,RadialDistal,SteeringHeater_2
VolarProximal,RadialDistal,CarSeatHeater_2
VolarProximal,RadialDistal,Heater_2
VolarProximal,RadialDistal,AC_2
