start_region,end_region,letter_association
RadialDistal,RadialDistal,TI_Chats_5
RadialIntermediate,RadialIntermediate,TI_Call_1
RadialProximal,RadialProximal,TI_Apps_4
VolarDistal,VolarDistal,TI_Map_6
VolarIntermediate,VolarIntermediate,TI_Climate_2
VolarProximal,VolarProximal,TI_Music_3
RadialDistal,RadialIntermediate,Send_5
RadialDistal,RadialIntermediate,Reply_5
RadialDistal,RadialIntermediate,Keyboard_5
RadialDistal,RadialIntermediate,ContactList_5
RadialDistal,RadialIntermediate,SpeechToText_5
RadialIntermediate,RadialDistal,CallAccept_1
RadialIntermediate,RadialDistal,CallReject_1
RadialIntermediate,RadialDistal,CallReply_1
RadialIntermediate,RadialDistal,CallingPerson_1
RadialIntermediate,RadialDistal,MuteMic_1
RadialProximal,RadialDistal,Radio_4
RadialProximal,RadialDistal,Instagram_4
RadialProximal,RadialDistal,Podcast_4
RadialProximal,RadialDistal,Whatsapp_4
RadialProximal,RadialDistal,Spotify_4
VolarDistal,RadialDistal,Home_6
VolarDistal,RadialDistal,Recenter_6
VolarDistal,RadialDistal,Destination_6
VolarDistal,RadialDistal,Work_6
VolarDistal,RadialDistal,Search_6
VolarIntermediate,RadialDistal,AC_2
VolarIntermediate,RadialDistal,Heater_2
VolarIntermediate,RadialDistal,Air_2
VolarIntermediate,RadialDistal,CarSeatHeater_2
VolarIntermediate,RadialDistal,SteeringHeater_2
VolarProximal,RadialDistal,VolumeMinus_3
VolarProximal,RadialDistal,Pause_3
VolarProximal,RadialDistal,VolumePlus_3
VolarProximal,RadialDistal,NextSong_3
VolarProximal,RadialDistal,Play_3
